segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
2.353414,2.372887,-1.718918,0.920589,0.9647614,2.480711,4.179307,-0.5252324,0.4513093,3.015123,4.967656,0.7165478,1.650967,2.436092,2.352878,0.6558084,boundary
2.967317,4.882741,0.6965842,3.202072,2.885616,4.4089,6.059749,0.002653532,1.72357,3.326317,5.874412,2.776821,0.6593254,4.722996,3.805336,2.943915,boundary
1.599846,2.281655,-0.07244762,2.496866,1.799023,3.456945,1.495313,-0.2982292,1.553566,4.037138,3.738194,4.748844,3.667237,2.679915,2.145827,1.714019,boundary
3.196482,1.489021,-0.9682002,2.146692,1.191277,3.965333,1.000368,-0.1052841,1.134275,4.644793,3.158687,2.617049,4.40411,3.652929,1.244401,1.168528,boundary
1.308866,4.690512,1.359088,2.030338,2.654061,2.795628,5.673691,-0.4205464,1.369299,0.02249243,5.90409,0.2105447,0.86261,3.089999,2.644853,1.929541,boundary
0.5730188,1.995295,0.6852229,2.270339,2.236563,0.6754143,0.2869094,-0.001682901,1.631338,-0.06811577,1.422509,1.606714,2.122086,2.219842,1.385339,1.753109,boundary
1.608588,2.650756,0.3009233,0.2655069,0.6666404,2.673137,1.56155,1.031638,1.646523,1.546136,-1.167871,0.477891,0.6467728,2.514548,0.9371075,0.8707682,boundary
0.5946041,2.569471,0.2588573,1.711977,2.869874,0.06259327,2.166604,0.999545,1.421528,-0.2985463,-0.6533832,-0.7596067,-1.576587,2.107616,1.406296,1.014127,boundary
2.573704,2.075534,0.7439865,1.287364,1.601524,3.440421,2.846418,2.183352,1.764284,4.130241,0.1065488,-0.08891706,0.4541922,3.229788,2.57104,1.720372,boundary
0.3470074,1.065081,0.2860159,0.6338636,-0.1044523,-0.3306595,-1.165594,1.017354,2.017312,-2.180713,0.5425457,-1.152369,-1.445378,1.009653,-1.263507,0.855354,boundary
-1.177004,-0.4981468,-0.2581824,0.6280034,-0.2075148,-1.557017,-0.9331832,1.237617,-0.4163153,-2.159437,-2.341859,-3.56102,-3.860119,-0.2846065,-1.516484,-1.296392,boundary
0.0812303,-0.0103162,1.102855,0.4749354,-0.4213717,-0.8254992,-2.00995,1.128082,1.58357,-1.819777,-1.032404,-4.064188,-4.781975,-0.4694956,-1.569045,-0.7791897,boundary
-1.363748,-0.8096024,0.01707352,-1.303489,-1.925904,-3.092346,-1.596725,0.5655293,0.8153544,-2.636223,1.467197,-5.845746,-4.878418,-2.532624,-2.612671,-1.110665,boundary
0.2324235,-1.768426,1.065373,2.007501,-0.8310423,-0.07287346,-2.47304,1.69774,-0.9672316,-0.2162575,-3.23959,-3.76693,-3.829599,0.8192185,-2.062485,0.2891374,boundary
-1.655604,-0.3973782,0.6410534,-1.037499,-2.756149,-2.557508,-3.124215,0.8768779,0.7718654,-3.041371,1.593685,-8.110033,-7.648065,-4.433803,-3.639142,-3.45874,boundary
-0.2830223,-3.723996,0.3187852,-1.166837,-4.113858,-1.480309,-5.226956,0.5371743,-0.7024685,1.036381,-2.328284,-8.184722,-7.123246,-3.093198,-5.34913,-2.736019,boundary
-0.718323,-1.760981,1.212293,-0.03318058,-2.293789,-2.056009,-3.196012,0.5494517,-0.4202152,-0.3304448,-1.627653,-5.995957,-5.75214,-2.008536,-3.533571,-0.9868717,boundary
0.9580927,-0.1703534,0.9296089,-0.1493014,-0.7762302,1.317881,0.5305426,0.6240515,0.01955872,0.7935529,2.054181,4.737034,2.618006,2.00631,0.3813235,-0.5478373,S  3
0.6533987,-0.7091987,1.253478,-0.7456472,-1.202881,2.951227,3.478049,0.2583485,-0.01085997,-1.200628,0.3932711,3.667129,3.891564,1.262499,1.73197,-0.6514928,S  3
0.3856572,-2.771811,1.711749,0.795305,0.02547763,0.3381852,-2.422139,-0.1906947,-1.713176,-1.212296,-5.165749,8.255577,7.495012,3.334482,0.9950929,2.733221,S  3
3.123304,-0.3502594,1.467119,2.587531,0.7285383,3.042088,0.7871019,1.545811,-0.7016417,3.095917,-0.323557,4.952367,2.790825,3.616113,2.205887,1.299637,S  3
1.952085,-0.5713218,2.425256,0.4449843,-0.515336,1.485269,2.536441,1.602349,0.3982054,0.1802451,0.1490101,0.8822441,1.060157,0.6125283,2.077526,0.4139179,S  3
